No,차량번호,차량모델,차량구분,입구1,입구2,이    름,연 락 처,소    속,직    급,시 작 일,종 료 일,등 록 일,수 정 일,세대통보,등록,기타,앱허용
1,55가5555,,사전접수,Y,Y,오오오,010-5555-5555,101,202,2019-07-31,2019-08-03,2019-07-31 10:35:37,2019-08-13 11:09:01,미적용,입주민:11가1111, ,Y
2,666가6666,,사전접수,Y,Y,육육육,010-6666-6666,101,202,2019-07-31,2019-08-01,2019-07-31 10:36:39,2019-08-13 11:09:05,미적용,입주민:11가1111, ,N
3,77거7777,,사전접수,Y,Y,칠칠칠,010-7777-7777,101,202,2019-07-31,2019-08-02,2019-07-31 11:12:17,2019-08-13 11:09:12,미적용,입주민:11가1111, ,N
4,22가2222,,업무용,N,N,홍길동,,101,202,2019-07-31,9999-12-31,2019-07-31 10:29:04,2019-10-17 10:05:26,미적용,192.168.100.253, ,N
5,123가1111,소나,업무용,N,N,홍길동,010-1111-1111,101,202,2019-10-18,2019-11-18,2019-10-17 09:37:48,,적용,,메모용지,N
6,222가2222,소나타,업무용,N,N,홍길동,010-1111-2222,소속테스트,직급테스트,2019-10-17,2019-11-17,2019-10-17 09:45:25,,적용,, ,N
7,000가0000,,정기권,Y,Y,,,,,2019-08-16,9999-12-31,2019-08-16 17:32:38,,미적용,14.42.50.224, ,N
8,123가1234,,정기권,Y,Y,,,,,2019-08-16,9999-12-31,2019-08-16 17:34:10,,미적용,14.42.50.224, ,N
9,234나7890,,정기권,Y,Y,,,,,2019-08-16,9999-12-31,2019-08-16 17:35:16,,미적용,14.42.50.224, ,N
10,333가3333,,정기권,N,N,,,,,2019-10-17,2019-11-17,2019-10-17 09:51:56,,적용,, ,N
11,35러4105,,정기권,N,N,,,,,2019-10-17,2019-11-17,2019-10-17 10:25:38,,적용,, ,N
12,서울12가1234,,정기권,N,N,,,,,2019-10-17,2019-11-17,2019-10-17 10:26:32,,적용,, ,N
13,456가7890,,정기권,Y,Y,,,,,2019-10-23,9999-12-31,2019-10-23 18:17:16,,미적용,, ,Y
