No,차량번호,차량모델,차량구분,입구1,출구1,출구2,미사용,정문출구5,정문출구6,이    름,연 락 처,거주  동,거주  호,시 작 일,종 료 일,등 록 일,수 정 일,세대통보,등록,기타
1,555가5555,,업무용,Y,Y,N,N,N,N,,,,,2020-10-19,9999-12-31,2020-10-19 16:18:18,2020-10-26 15:41:07,적용,, 
2,777가7777,,입주민,Y,Y,N,N,N,N,,,,,2020-10-19,9999-12-31,2020-10-19 16:19:09,,적용,, 
3,111가1111,일일일,입주민,Y,N,N,N,N,N,홍길일,010-1111-1111,,,2021-01-19,9999-12-31,2021-01-19 11:39:47,,적용,, 
4,000가0000,영영영,입주민,Y,Y,N,N,N,N,홍길영,010-000-0000,1,101,2021-01-19,9999-12-31,2021-01-19 11:40:30,,적용,, 
5,66나6666,소나육,입주민,Y,N,N,N,N,N,홍길육,060-6666-6666,101,1어린이집,2021-01-07,9999-12-31,2021-01-07 13:50:02,,적용,, 
6,22가2222,소나이,입주민,Y,N,N,N,N,N,이이이,020-2222-2222,101,202,2021-01-07,9999-12-31,2021-01-07 13:35:09,,적용,, 
7,88가8888,소나팔,입주민,Y,N,N,N,N,N,홍길팔,080-8888-8888,101,203,2021-01-07,9999-12-31,2021-01-07 14:01:48,,적용,, 
8,55나5555,소나오,입주민,Y,N,N,N,N,N,홍길오,050-5555-5555,101,2205,2021-01-07,9999-12-31,2021-01-07 13:43:14,,적용,, 
9,33가3333,소나타,입주민,Y,Y,N,N,N,N,이이이,010-1111-1111,20,2202,2020-12-13,9999-12-13,2020-10-16 16:00:54,2020-10-26 13:54:17,미적용,,테스트
10,44가4444,소나사,입주민,Y,N,N,N,N,N,홍길사,040-4444-4444,401,101,2021-01-07,9999-12-31,2021-01-07 13:39:07,,적용,, 
11,77가7777,소나칠,입주민,Y,N,N,N,N,N,홍길칠,070-7777-7777,707,1707,2021-01-07,9999-12-31,2021-01-07 14:01:07,2021-01-07 14:59:44,적용,, 
12,27가2727,,출입제한,Y,Y,Y,Y,Y,Y,,,,,2021-02-04,9998-12-30,2021-02-04 12:06:46,,미적용,192.168.100.1,사전방문관리앱 등록
13,04거5105,,출입제한,Y,Y,Y,Y,Y,Y,,,,,2021-02-04,9998-12-30,2021-02-04 17:47:30,,미적용,192.168.100.1,사전방문관리앱 등록
14,123거1236,,출입제한,Y,Y,Y,Y,Y,Y,,,,,2021-02-04,9998-12-30,2021-02-04 17:47:14,,미적용,192.168.100.1,사전방문관리앱 등록
